Married,Female,White,Age,Edu,Poverty
Y,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,Y,0
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,0
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,N,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,0
N,N,Y,1,Y,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,N,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,0
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,0
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,N,1
Y,N,Y,1,N,1
Y,N,Y,1,Y,1
Y,N,N,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
Y,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,0
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,0
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,0
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,Y,0
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,0
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,Y,0
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,N,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
Y,N,N,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,0
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
Y,N,Y,1,N,1
Y,N,Y,1,Y,0
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,N,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
Y,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,N,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
Y,N,N,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
Y,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
Y,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,Y,1
Y,N,Y,1,N,1
N,N,N,1,Y,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,N,1
N,N,Y,1,Y,1
N,N,Y,1,N,1
